objectId,inSize,totalTime,generated
o88112,533,114,True
o39428,533,114,True
o58615,534,123,True
o42208,534,125,True
o9702,535,114,True
o53019,536,116,True
o27828,536,120,True
o79428,537,123,True
o76468,537,126,True
o65422,537,121,True
o90397,538,115,True
o74425,538,121,True
o7490,539,112,True
o67594,540,114,True
o40351,540,113,True
o83685,541,114,True
o79714,541,125,True
o33832,541,115,True
o89660,542,119,True
o35779,542,135,True
o9900,543,116,True
o69840,543,117,True
o42161,543,112,True
o26958,543,121,True
o21460,543,116,True
o85087,544,128,False
o62763,545,125,True
o6265,545,113,True
o57048,545,122,True
o21855,546,116,True
o12494,546,115,True
o43979,547,111,True
o42170,547,114,True
o22050,549,118,True
o9815,550,134,True
o90282,550,112,True
o68349,550,114,True
o25947,551,114,True
o17599,551,113,True
o85187,552,111,True
o79445,552,123,True
o68428,552,115,True
o20461,552,113,True
o83280,553,115,True
o39524,553,117,False
o83707,554,114,True
o80292,554,114,True
o73109,554,114,True
o69485,554,110,True
o10012,555,121,True
o85183,556,114,True
o71425,556,113,True
o62768,557,113,True
o89678,558,115,True
o70015,559,115,True
o31276,559,112,True
o17544,559,113,True
o13683,559,115,True
o85951,560,117,True
o80293,560,121,True
o79557,560,111,True
o39514,560,113,True
o40353,561,113,True
o17571,561,113,True
o87861,563,120,True
o76761,564,120,True
o73033,564,119,True
o25106,564,120,True
o9780,565,113,True
o6321,565,113,True
o69157,566,116,True
o44363,566,112,True
o6191,567,116,True
o46421,567,113,True
o25952,567,123,True
o87854,568,115,True
o78447,568,122,True
o7500,568,123,True
o37087,568,113,True
o9835,569,121,True
o69520,569,120,True
o43322,569,114,True
o34361,569,112,True
o48517,570,112,True
o11796,570,130,True
o83684,571,113,True
o60113,571,121,True
o43997,571,113,True
o65933,572,113,True
o48010,572,113,True
o10009,572,114,True
o83697,573,119,True
o26216,573,112,True
o69531,574,111,True
o6188,574,113,True
o41660,574,111,True
o33959,575,114,True
o78476,576,112,True
o68291,576,121,True
o64820,576,112,True
o85930,577,116,True
o13667,577,115,True
o45162,578,121,True
o19356,578,122,True
o69916,579,113,True
o42292,579,122,True
o17424,579,113,True
o70330,580,121,True
o41582,580,111,True
o79609,581,113,True
o62755,581,113,True
o24182,581,115,True
o81662,582,121,True
o60839,582,121,True
o58915,582,112,True
o51224,582,124,True
o65462,583,114,True
o81581,584,114,True
o48803,584,127,True
o9884,585,121,True
o79722,585,112,True
o68623,585,113,True
o29013,585,115,True
