objectId,inSize,totalTime,generated
kb_995_Normalized,1094,130,True
kb_994_Normalized,1094,128,True
kb_605_Normalized,1097,116,True
kb_604_Normalized,1097,116,True
kb_99_Normalized,1098,115,True
kb_100_Normalized,1098,115,True
kb_471_Normalized,1100,115,True
kb_54_Normalized,1112,124,True
kb_53_Normalized,1112,119,True
kb_1141_Normalized,1123,123,True
kb_1140_Normalized,1123,114,True
kb_906_Normalized,1142,117,True
kb_905_Normalized,1142,125,True
kb_904_Normalized,1142,119,True
kb_985_Normalized,1145,116,True
kb_984_Normalized,1145,118,True
kb_988_Normalized,1148,117,True
kb_983_Normalized,1148,122,True
kb_982_Normalized,1148,118,True
kb_382_Normalized,1153,119,True
kb_381_Normalized,1153,116,True
kb_460_Normalized,1157,121,True
kb_462_Normalized,1162,122,True
kb_461_Normalized,1162,120,True
kb_1160_Normalized,1181,122,True
kb_1159_Normalized,1181,116,True
kb_828_Normalized,1206,121,True
kb_827_Normalized,1206,118,True
kb_331_Normalized,1213,117,True
kb_507_Normalized,1221,117,True
kb_506_Normalized,1221,122,True
kb_598_Normalized,1234,118,True
kb_378_Normalized,1238,117,True
kb_377_Normalized,1238,117,True
kb_930_Normalized,1247,117,True
kb_929_Normalized,1247,116,True
kb_300_Normalized,1280,117,True
kb_1023_Normalized,1280,120,True
kb_1022_Normalized,1280,118,True
kb_625_Normalized,1327,119,True
kb_624_Normalized,1327,117,True
kb_511_Normalized,1333,132,True
kb_510_Normalized,1333,118,True
kb_70_Normalized,1343,122,True
kb_69_Normalized,1343,119,True
kb_332_Normalized,1345,130,True
kb_330_Normalized,1345,121,True
kb_844_Normalized,1369,123,True
kb_843_Normalized,1369,121,True
kb_576_Normalized,1402,128,True
kb_575_Normalized,1402,121,True
kb_561_Normalized,1411,119,True
kb_560_Normalized,1411,118,True
kb_302_Normalized,1417,118,True
kb_435_Normalized,1429,117,True
kb_434_Normalized,1429,118,True
kb_540_Normalized,1430,118,True
kb_539_Normalized,1430,127,True
kb_1049_Normalized,1433,120,True
kb_1048_Normalized,1433,131,True
kb_1047_Normalized,1433,117,True
kb_1019_Normalized,1453,125,True
kb_1016_Normalized,1453,120,True
kb_789_Normalized,1455,118,True
kb_788_Normalized,1455,131,True
kb_924_Normalized,1479,134,True
kb_922_Normalized,1491,122,True
kb_921_Normalized,1491,119,True
kb_1040_Normalized,1502,120,True
kb_1039_Normalized,1502,120,True
kb_1037_Normalized,1502,119,True
kb_876_Normalized,1519,118,True
kb_875_Normalized,1519,118,True
kb_874_Normalized,1519,117,True
kb_873_Normalized,1519,117,True
kb_291_Normalized,1522,120,True
kb_290_Normalized,1522,118,True
kb_1091_Normalized,1522,122,True
