objectId,inSize,totalTime,generated
sp_304_Normalized,5860,121,True
sp_305_Normalized,5998,131,True
sp_306_Normalized,6067,133,True
sp_378_Normalized,6310,120,True
sp_235_Normalized,6325,120,True
sp_172_Normalized,6557,121,True
sp_153_Normalized,6600,122,True
sp_222_Normalized,6693,117,True
sp_379_Normalized,6804,118,True
sp_307_Normalized,7073,121,True
sp_96_Normalized,7133,117,True
sp_408_Normalized,7294,116,True
sp_352_Normalized,7346,129,True
sp_95_Normalized,7448,128,True
sp_94_Normalized,7456,120,True
sp_409_Normalized,7460,119,True
sp_80_Normalized,7461,123,True
sp_81_Normalized,7469,121,True
sp_123_Normalized,7490,122,True
sp_279_Normalized,7607,126,True
sp_82_Normalized,7694,121,True
sp_410_Normalized,7699,117,True
sp_411_Normalized,7700,118,True
sp_13_Normalized,7707,120,True
sp_12_Normalized,7708,115,True
sp_79_Normalized,7912,116,True
sp_375_Normalized,7928,117,True
sp_348_Normalized,7950,128,True
sp_347_Normalized,7950,119,True
sp_124_Normalized,8002,119,True
sp_209_Normalized,8021,125,True
sp_129_Normalized,8435,118,True
sp_87_Normalized,8577,119,True
sp_162_Normalized,8583,126,True
sp_280_Normalized,8607,120,True
sp_88_Normalized,8612,129,True
sp_418_Normalized,8628,124,True
sp_281_Normalized,8805,123,True
sp_130_Normalized,9063,118,True
sp_367_Normalized,9151,118,True
sp_223_Normalized,9502,128,True
sp_311_Normalized,10386,60008,False
sp_200_Normalized,10560,138,True
sp_236_Normalized,10746,143,True
sp_249_Normalized,11099,147,False
sp_353_Normalized,11280,130,True
sp_17_Normalized,11767,134,True
sp_398_Normalized,12342,136,True
sp_18_Normalized,12734,131,True
sp_371_Normalized,12926,122,True
sp_309_Normalized,13207,60007,False
sp_372_Normalized,13230,115,True
sp_328_Normalized,14004,131,True
sp_310_Normalized,15292,60007,False
sp_261_Normalized,18469,129,True
sp_137_Normalized,19957,125,True
sp_138_Normalized,19962,131,True
sp_0_Normalized,22225,128,True
sp_338_Normalized,26255,133,True
sp_346_Normalized,26575,159,True
sp_339_Normalized,27146,130,True
sp_345_Normalized,29488,124,True
sp_341_Normalized,31803,120,True
sp_333_Normalized,34973,133,True
sp_342_Normalized,52538,125,True
sp_343_Normalized,54050,126,True
sp_330_Normalized,54618,127,True
sp_334_Normalized,55072,123,True
sp_331_Normalized,56130,125,True
